permno,permco_pre,ticker_pre,issuernm_pre,size_segment_pre,bankruptcy_date,dlstcd,dlret,last_index_qdate_pre_or_at,last_index_id_pre,same_permno_reentered,first_reentry_date_permno,reentry_index_ids_permno,same_permco_reentered,first_reentry_date_permco,reentry_permnos_permco,reentry_index_ids_permco,reentered_index_after_bankruptcy,temporary_any_y1,temporary_y1_before_or_at_bankruptcy_year,temporary_first_y1_year,temporary_y1_years,temporary_any_confirmed_or_terminal_event,temporary_any_terminal_failure_event,temporary_terminal_failure_codes,permanent_any_y1,permanent_first_y1_year,permanent_y1_years,csi_classification_summary
87468,36562,PSU,PLASTIC SURGERY CO,micro,2002-03-28,574,-0.95,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,FALSE,"",TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
85733,15923,IFLY,800 TRAVEL SYSTEMS INC,micro,2002-04-03,574,-0.285714,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
84564,15359,SMCX,SPECIAL METALS CORP,micro,2002-04-04,574,-0.485294,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
86070,16086,HYPT,HYPERION TELECOMMUNICATIONS INC,micro,2002-04-04,574,-0.25,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999,TRUE,FALSE,"",TRUE,1999,1999,classified_as_csi_in_available_labels_or_events
86816,16497,ATHY,APPLIEDTHEORY CORP,micro,2002-04-25,574,-0.710145,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999,TRUE,FALSE,"",TRUE,1999,1999,classified_as_csi_in_available_labels_or_events
84216,15182,GRLL,ROADHOUSE GRILL INC,micro,2002-05-01,574,-0.5,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
70288,4090,SCHJ,SCHJELDAHL G T CO,micro,2002-05-09,574,-0.964286,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
83457,31641,PGH,POLYMER GROUP INC,micro,2002-05-13,574,-0.847458,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
87395,17320,KQIP,KPNQWEST NV,micro,2002-05-30,574,-0.847222,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
87607,17971,FTHL,FLAG TELECOM HOLDINGS LTD,micro,2002-06-12,574,-0.277778,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
87096,,,,,2002-06-26,574,-0.172749,,,FALSE,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,,,no_csi_classification_found_in_available_labels_or_events
86371,34885,GBT,G S T GLOBAL TELECOM INC,micro,2002-06-28,574,-0.857143,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
87535,36611,MED,E MEDSOFT COM,micro,2002-07-15,574,-0.3,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
11042,61,ADCO,ADVANTAGE COS INC,mega,2002-07-29,574,-0.918675,2002-03-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,FALSE,"",TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
87772,18399,GTTLB,G T GROUP TELECOM INC,micro,2002-07-29,574,-0.666667,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,FALSE,"",TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
89027,,,,,2002-07-29,574,-0.918085,,,FALSE,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,,,no_csi_classification_found_in_available_labels_or_events
89212,42397,SCNT,SCIENT INC,micro,2002-07-29,574,-0.931818,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,FALSE,,"",classified_as_csi_in_available_labels_or_events
28847,21827,ALA,ALLEGHENY AIRLINES INC,micro,2002-08-09,574,-0.813433,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,FALSE,"",TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
88589,39132,CDS,CREDIT STORE INC,micro,2002-08-15,574,-0.999167,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
85473,15779,ITCD,I T C DELTACOM INC,micro,2002-08-27,574,-0.25,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
77964,11723,UTCI,UNIROYAL TECHNOLOGY CORP,micro,2002-09-05,574,0,2002-06-28,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
85742,15929,NOGAF,NOGA ELECTRO MECHANICAL INDS,micro,2002-10-02,574,0.018519,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
85651,32180,FMM,F F P MARKETING CO,micro,2002-10-03,573,-0.935065,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,573,FALSE,,"",classified_as_csi_in_available_labels_or_events
80387,,,,,2002-10-08,574,-0.735849,,,FALSE,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,,,no_csi_classification_found_in_available_labels_or_events
88536,38434,ITXI,INTEGRATED TELECOM EXPRESS INC,micro,2002-10-17,574,-0.027397,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
11895,9815,MAROA,MARROW TECH INC,micro,2002-10-21,574,-0.946753,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
84729,15442,DGJLF,D G JEWELLERY OF CANADA LTD,micro,2002-10-23,574,-0.733333,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
84138,,,,,2002-10-24,574,-0.562798,,,FALSE,,,FALSE,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,,,no_csi_classification_found_in_available_labels_or_events
19692,20215,,ARMSTRONG CORK CO,micro,2002-11-04,574,-0.676301,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2001,TRUE,TRUE,574,TRUE,1999,1999;2001,classified_as_csi_in_available_labels_or_events
82221,13900,UACA,UNION ACCEPTANCE CORP,micro,2002-11-11,574,-0.93576,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,FALSE,,"",classified_as_csi_in_available_labels_or_events
58026,3319,OAKW,OAKWOOD HOMES CORP,micro,2002-11-14,574,-0.84127,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1998,1998;2000,TRUE,FALSE,"",TRUE,1998,1998;2000,classified_as_csi_in_available_labels_or_events
87252,16918,SITE,SPECTRASITE HOLDINGS INC,micro,2002-11-25,574,-0.615385,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,FALSE,"",TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
88345,37721,GENU,GENUITY INC,micro,2002-12-04,574,-0.357143,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
12749,21028,,KRESGE S S CO,small,2002-12-18,574,-0.573529,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
24811,21347,,OWENS CORNING FIBERGLAS CORP,micro,2002-12-18,574,-0.526316,2002-09-30,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2001,TRUE,TRUE,574,TRUE,1999,1999,classified_as_csi_in_available_labels_or_events
