ticket_id,run_id,feature_set,track,feature_name,feature_family,result_status,n_rows_used,baseline_mean_probability,perturbed_mean_probability,mean_abs_delta_log_odds,mean_signed_delta_log_odds,median_abs_delta_log_odds,p90_abs_delta_log_odds,probability_clip_eps,perturbation_policy,permutation_strata,perturbation_seed,predictor_path,best_model,bounded_predictor_note,pit_ratio_source,rank_within_model_track
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,leverage,point_in_time_ratios,computed,143173,0.03684166266980283,0.03679288979313004,0.0054256197415047,-0.0001576554506317917,0.0,0.01774541532104248,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,23
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,accruals_ratio,point_in_time_ratios,computed,143173,0.03684166266980283,0.03681463159768819,0.00530677293033992,0.00034467355846141994,0.0,0.011871273885418268,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,24
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,bp_ratio,point_in_time_ratios,computed,143173,0.03684166266980283,0.03675046385212339,0.0039538686321042,0.00016896908386549906,0.0,0.010037309542363638,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,25
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,std_debt_pct,point_in_time_ratios,computed,143173,0.03684166266980283,0.03677568006339861,0.003950416372423054,0.0003837162205986206,0.0,0.009729056051217376,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,26
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,log_emp,point_in_time_ratios,computed,143173,0.03684166266980283,0.0368942608124763,0.003941272754029431,-0.0011309463784478604,0.0,0.010458431495632681,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,27
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,capex_intensity,point_in_time_ratios,computed,143173,0.03684166266980283,0.036810701253581886,0.003803742741763181,-0.00024367554862348779,0.0,0.008421639176042373,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,28
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,asset_turnover,point_in_time_ratios,computed,143173,0.03684166266980283,0.03679681146161365,0.0037134949556498972,-0.00044200396388699534,0.0,0.008435090445265383,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,29
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,mkt_to_book,point_in_time_ratios,computed,143173,0.03684166266980283,0.03680901591876658,0.003439161311286405,-5.716085145757209e-06,0.0,0.01213768948732499,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,30
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,log_at,point_in_time_ratios,computed,143173,0.03684166266980283,0.03683604437473402,0.0034172427132346623,-0.0005188492053549015,0.0,0.00900464171738014,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,31
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,compr_inc_ratio,point_in_time_ratios,computed,143173,0.03684166266980283,0.03681067721848721,0.00337528786312807,-0.0004887986913215633,0.0,0.011732945358709305,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,32
