track,feature_set,threshold_method,cohort,fold_id,permno,year,y,p_csi,threshold,threshold_boundary_tolerance
dynamic_csi,raw_plus_latent,fpr3,FP,2,12149,2002,0,0.21291927993297577,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,12149,2004,0,0.2891809046268463,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,12260,2002,0,0.25805559754371643,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,12260,2003,0,0.2284521758556366,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,12266,2003,0,0.22200250625610352,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,12266,2004,0,0.21736501157283783,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,12266,2005,0,0.21143239736557007,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,17337,2003,1,0.23577335476875305,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,17337,2004,0,0.22948533296585083,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,18112,2005,0,0.22258858382701874,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,19596,2002,0,0.21394577622413635,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,19749,2002,0,0.21669988334178925,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,19749,2003,0,0.21245628595352173,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,21020,2002,0,0.23073066771030426,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,22680,2004,1,0.21811655163764954,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,22680,2005,0,0.21406437456607819,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,23552,2005,0,0.25652167201042175,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,24548,2004,1,0.29725509881973267,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,24548,2005,1,0.2462632656097412,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,24548,2006,0,0.2975310981273651,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,26112,2004,0,0.251640647649765,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,26606,2003,0,0.2695881128311157,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,26606,2004,0,0.2629738748073578,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,26657,2003,0,0.2579303979873657,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,26657,2004,0,0.21946397423744202,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,28223,2004,0,0.23853927850723267,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,28223,2005,1,0.28263577818870544,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,28223,2006,0,0.26994243264198303,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,29073,2003,1,0.2412055879831314,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,29867,2005,0,0.22500452399253845,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,33372,2003,0,0.2624962031841278,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,33372,2004,0,0.27255943417549133,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,33372,2005,0,0.28722360730171204,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,33690,2003,0,0.24320371448993683,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,33690,2006,1,0.23128949105739594,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,34287,2002,0,0.21950635313987732,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,34287,2004,1,0.24067659676074982,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,34630,2006,0,0.3208022117614746,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,37284,2002,0,0.2231312096118927,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,38658,2002,0,0.2191886007785797,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,39256,2004,0,0.22746817767620087,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,40062,2004,0,0.2345067262649536,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,40062,2005,0,0.26627814769744873,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,40540,2004,1,0.22099027037620544,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,40695,2004,0,0.22914999723434448,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,41419,2002,0,0.21823593974113464,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,43757,2004,0,0.22941869497299194,0.211419641971588,1e-12
