track,feature_set,priority,prediction_source,threshold_source,prediction_rows,prediction_positive_rows,prediction_negative_rows,split_source,threshold_boundary_tolerance,forbidden_sources_read
dynamic_csi,raw_plus_latent,priority_1_main_nonraw,03_Data_Output/6_ModelSuite/raw_plus_latent/temporary_csi/ag_cv_results.parquet,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_thresholds_by_crsp_universe.csv,72223,3119,69104,cv,1e-12,none
dynamic_csi,raw,priority_1_raw_comparator,03_Data_Output/6_ModelSuite/raw/temporary_csi/ag_cv_results.parquet,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised/index_thresholds_by_crsp_universe.csv,72223,3119,69104,cv,1e-12,none
permanent_csi,raw_plus_latent,priority_1_primary_nonraw_challenger,03_Data_Output/6_ModelSuite/raw_plus_latent/permanent_csi/ag_cv_results.parquet,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_thresholds_by_crsp_universe.csv,72223,2459,69764,cv,1e-12,none
permanent_csi,raw,priority_1_raw_baseline,03_Data_Output/6_ModelSuite/raw/permanent_csi/ag_cv_results.parquet,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised/index_thresholds_by_crsp_universe.csv,72223,2459,69764,cv,1e-12,none
