track,track_label,feature_set,model_key,priority,threshold_method,threshold_label,threshold,split_source,n_fp,n_tp,fp_score_mean,tp_score_mean,score_smd_fp_minus_tp,fp_margin_median,fp_margin_p25,fp_margin_p75,fp_near_threshold_001,fp_near_threshold_001_share,fp_near_threshold_002,fp_near_threshold_002_share,tp_lost_if_threshold_plus_001,tp_lost_if_threshold_plus_001_share,tp_lost_per_fp_removed_plus_001,tp_lost_if_threshold_plus_002,tp_lost_if_threshold_plus_002_share,tp_lost_per_fp_removed_plus_002,tp_score_q25,tp_score_median,tp_score_q75,fp_score_ge_tp_q25,fp_score_ge_tp_q25_share,fp_score_ge_tp_median,fp_score_ge_tp_median_share,fp_score_ge_tp_q75,fp_score_ge_tp_q75_share,input_feature_separability_status,supported_interpretation
dynamic_csi,Temporary CSI,raw,raw,priority_1_raw_comparator,fpr1,CV FPR <= 1%,0.265872091054916,cv,690,286,0.29809656488722647,0.3051694866035368,-0.23641045083088214,0.024597391486168296,0.010770916938782127,0.04455362260341683,169,0.24492753623188407,300,0.43478260869565216,55,0.19230769230769232,0.3254437869822485,93,0.32517482517482516,0.31,0.2792479023337364,0.30004383623600006,0.3215723782777786,482,0.6985507246376812,249,0.36086956521739133,125,0.18115942028985507,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw,raw,priority_1_raw_comparator,fpr3,CV FPR <= 3%,0.217117547988892,cv,2073,731,0.2582615432506935,0.26493574422051575,-0.18548350319496568,0.03307658433914146,0.014349967241286843,0.05915766954421958,376,0.18137964302942594,708,0.341534008683068,111,0.1518467852257182,0.29521276595744683,210,0.2872777017783858,0.2966101694915254,0.23448732495307922,0.2534502148628235,0.2877357006072998,1447,0.698022190062711,967,0.4664737095996141,374,0.18041485769416304,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw,raw,priority_1_raw_comparator,fpr5,CV FPR <= 5%,0.186501175165176,cv,3446,1065,0.23560991007629273,0.24482569578387928,-0.22786888013636267,0.03982787579298058,0.018753640353680046,0.07137881219387093,480,0.13929193267556586,924,0.2681369704004643,128,0.12018779342723004,0.26666666666666666,230,0.215962441314554,0.24891774891774893,0.21032170951366425,0.23584766685962677,0.2684217691421509,2363,0.6857225769007544,1408,0.4085896691816599,628,0.18224027858386535,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw,raw,priority_1_raw_comparator,youden,CV Youden J,0.0501871220767498,cv,18265,2682,0.12766772997977308,0.16784008828357785,-0.6072902534217103,0.060153160244226456,0.023943092674016953,0.11800223961472511,2065,0.11305776074459349,3922,0.2147276211333151,115,0.04287844891871737,0.05569007263922518,225,0.08389261744966443,0.05736868944416114,0.10346674360334873,0.16297686845064163,0.221983440220356,9877,0.5407610183410895,4865,0.2663564193813304,1875,0.10265535176567205,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,priority_1_main_nonraw,fpr1,CV FPR <= 1%,0.267428815364838,cv,690,306,0.30496984832528706,0.3098033102704029,-0.13459163103392635,0.026526167988776828,0.012798056006431247,0.05199627578258481,134,0.19420289855072465,267,0.3869565217391304,65,0.21241830065359477,0.48507462686567165,104,0.33986928104575165,0.3895131086142322,0.27973582595586777,0.29969027638435364,0.3263309448957443,525,0.7608695652173914,303,0.4391304347826087,142,0.20579710144927535,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,priority_1_main_nonraw,fpr3,CV FPR <= 3%,0.211419641971588,cv,2059,773,0.25844017737927283,0.2649095459211073,-0.153947179602394,0.03574076294899001,0.015868440270424028,0.06894475221633925,342,0.16610004856726565,628,0.3050024283632832,108,0.13971539456662355,0.3157894736842105,227,0.2936610608020699,0.3614649681528662,0.22892744839191437,0.253231018781662,0.2890896499156952,1496,0.7265662943176299,917,0.44536182612918895,399,0.19378338999514327,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,priority_1_main_nonraw,fpr5,CV FPR <= 5%,0.178807958960533,cv,3453,1117,0.23253839227589115,0.24320586485956647,-0.23082860823970203,0.04221424460411086,0.019106611609459062,0.07715986669063582,477,0.13814074717636837,895,0.2591949029829134,124,0.11101163831692032,0.259958071278826,221,0.19785138764547897,0.24692737430167597,0.2049044370651245,0.22998370230197906,0.271987646818161,2300,0.666087460179554,1467,0.42484795829713295,608,0.17607877208224731,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,priority_1_main_nonraw,youden,CV Youden J,0.0415444411337376,cv,18568,2717,0.11945095124346707,0.16377542599799838,-0.6441052128887605,0.059827655553817714,0.0236507952213287,0.11614093184471128,2255,0.12144549763033176,4093,0.2204330030159414,117,0.0430622009569378,0.05188470066518847,248,0.09127714390872285,0.06059125335939409,0.09685007482767105,0.15812940895557404,0.21981973946094513,9782,0.5268203360620423,4612,0.24838431710469625,1768,0.0952175786299009,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
permanent_csi,Permanent CSI,raw,raw,priority_1_raw_baseline,fpr1,CV FPR <= 1%,0.240544259548187,cv,697,270,0.27247108230460837,0.2761994785732693,-0.13609202537717632,0.025226712226867926,0.010618805885315191,0.04668557643890406,165,0.23672883787661406,296,0.4246771879483501,51,0.18888888888888888,0.3090909090909091,98,0.362962962962963,0.3310810810810811,0.25421588122844696,0.2709948271512985,0.2937800958752632,476,0.6829268292682927,297,0.4261119081779053,135,0.19368723098995697,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
permanent_csi,Permanent CSI,raw,raw,priority_1_raw_baseline,fpr3,CV FPR <= 3%,0.187758460640907,cv,2092,641,0.23141552158853976,0.23887153897382168,-0.20719945402744044,0.034800462424755374,0.01586826518178014,0.06338167190551786,350,0.16730401529636713,639,0.3054493307839388,91,0.1419656786271451,0.26,162,0.25273010920436817,0.2535211267605634,0.20749744772911072,0.23149695992469788,0.26389142870903015,1456,0.6959847036328872,876,0.4187380497131931,368,0.17590822179732313,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
permanent_csi,Permanent CSI,raw,raw,priority_1_raw_baseline,fpr5,CV FPR <= 5%,0.156471073627472,cv,3482,909,0.20744275540490043,0.21914635501941307,-0.28249138437311705,0.04131630808114997,0.018798220902681267,0.07523576170206062,506,0.14531878230901782,910,0.26134405514072373,97,0.10671067106710672,0.191699604743083,171,0.18811881188118812,0.1879120879120879,0.18315871059894562,0.21121157705783844,0.2483232170343399,2284,0.655944859276278,1353,0.38856978747846066,563,0.16168868466398623,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
permanent_csi,Permanent CSI,raw,raw,priority_1_raw_baseline,youden,CV Youden J,0.0378745011985302,cv,17473,2127,0.10657435964226061,0.14827564845258326,-0.6691400250875281,0.05058024451136589,0.019950486719608307,0.10299675539135933,2397,0.13718308247009672,4377,0.25050077262061465,110,0.051716031969910675,0.0458906967042136,201,0.09449929478138223,0.04592186429061001,0.08579348772764206,0.13909834623336792,0.2000584751367569,9054,0.518170892233732,4479,0.2563383505980656,1675,0.09586218737480684,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
permanent_csi,Permanent CSI,raw_plus_latent,raw_plus_latent,priority_1_primary_nonraw_challenger,fpr1,CV FPR <= 1%,0.232100933790207,cv,696,294,0.27240907182467394,0.2767045920093854,-0.10403942645501531,0.02607050538063041,0.011613111943006432,0.0560579299926757,154,0.22126436781609196,271,0.38936781609195403,54,0.1836734693877551,0.35064935064935066,104,0.35374149659863946,0.3837638376383764,0.24578741565346718,0.26456423103809357,0.29337122291326523,491,0.7054597701149425,298,0.4281609195402299,152,0.21839080459770116,blocked_missing_row_level_feature_matrix,score/profile only; no raw/fundamental/latent mechanism inference
