track,feature_set,threshold_method,cohort,fold_id,permno,year,y,p_csi,threshold,threshold_boundary_tolerance
permanent_csi,raw_plus_latent,fpr3,TP,2,11901,2003,1,0.20165179669857025,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12063,2005,0,0.18345066905021667,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12063,2006,0,0.18961404263973236,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12110,2002,0,0.20714306831359863,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12113,2004,0,0.28152939677238464,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,12113,2005,1,0.19504772126674652,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12113,2006,0,0.2908506393432617,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,12118,2006,1,0.25489160418510437,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12149,2002,0,0.20296035706996918,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12149,2004,0,0.22429153323173523,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12174,2002,0,0.18597838282585144,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,12260,2003,0,0.2165159434080124,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,15748,2004,0,0.19276630878448486,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,17337,2004,0,0.25744861364364624,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,19749,2002,0,0.19630609452724457,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,19749,2003,0,0.2082880586385727,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,19880,2003,0,0.20842930674552917,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,20125,2003,0,0.2212354689836502,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,21020,2002,0,0.20908202230930328,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,22664,2002,0,0.20083767175674438,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,22680,2004,1,0.2108650952577591,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,22680,2005,0,0.19037622213363647,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,22680,2006,1,0.19188515841960907,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,23552,2005,0,0.25239914655685425,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,24097,2006,0,0.2088335007429123,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,24441,2002,0,0.2338937520980835,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,24548,2003,0,0.18370668590068817,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,24548,2004,1,0.1962006539106369,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,24548,2005,1,0.21920545399188995,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,24548,2006,0,0.23160187900066376,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,26112,2004,0,0.25264379382133484,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,26606,2002,0,0.22062991559505463,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,26606,2004,0,0.2225029319524765,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,26606,2005,0,0.18216244876384735,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,26657,2003,0,0.2974133789539337,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,28223,2005,1,0.2805343270301819,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,28223,2006,0,0.2199196070432663,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,29073,2002,0,0.20427502691745758,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,TP,2,29073,2003,1,0.24337507784366608,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,29532,2005,0,0.2154364138841629,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,29532,2006,0,0.21549351513385773,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,29621,2006,0,0.21454118192195892,0.1808942258358,1e-12
permanent_csi,raw_plus_latent,fpr3,FP,2,29867,2005,0,0.1834966391324997,0.1808942258358,1e-12
