track,track_label,feature_set,model_key,threshold_method,threshold_label,threshold,threshold_boundary_tolerance,split_source,cohort,n,score_min,score_p01,score_p05,score_p25,score_median,score_mean,score_p75,score_p95,score_p99,score_max
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.211419641971588,1e-12,cv,FP,2059,0.21142490208148956,0.21188611447811126,0.214030659198761,0.22728808224201202,0.247160404920578,0.25844017737927283,0.28036439418792725,0.33670516908168785,0.39123543620109563,0.48241689801216125
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.211419641971588,1e-12,cv,TP,773,0.21141964197158813,0.21189448714256287,0.21494678556919097,0.22892744839191437,0.253231018781662,0.2649095459211073,0.2890896499156952,0.3541736900806427,0.4221673560142516,0.46470335125923157
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.211419641971588,1e-12,cv,FN,2346,0.0011543709551915526,0.0035208486136980356,0.013609521323814988,0.05623866617679596,0.10406879708170891,0.1060490578069917,0.15804153680801392,0.19923146814107895,0.20887063890695573,0.21116888523101807
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.211419641971588,1e-12,cv,TN,67045,0.00021198678587097675,0.0003565988678019494,0.000934984046034515,0.003836538875475526,0.010338419117033482,0.032758407376718875,0.04061540961265564,0.14645276665687557,0.19432977020740508,0.21140649914741516
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr1,CV FPR <= 1%,0.267428815364838,1e-12,cv,FP,690,0.267460435628891,0.26779270827770235,0.2690878972411156,0.2802268713712692,0.2939549833536148,0.30496984832528706,0.3194250911474228,0.3773252949118614,0.42261939913034446,0.48241689801216125
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr1,CV FPR <= 1%,0.267428815364838,1e-12,cv,TP,306,0.26742881536483765,0.26828050464391706,0.2701990008354187,0.27973582595586777,0.29969027638435364,0.3098033102704029,0.3263309448957443,0.38750849664211273,0.4479207202792167,0.46470335125923157
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr1,CV FPR <= 1%,0.267428815364838,1e-12,cv,FN,2813,0.0011543709551915526,0.0037430183310061694,0.015949731692671776,0.06681164354085922,0.125251904129982,0.1275386973585052,0.18761447072029114,0.2454378604888916,0.2609153389930725,0.26688313484191895
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr1,CV FPR <= 1%,0.267428815364838,1e-12,cv,TN,68414,0.00021198678587097675,0.0003588660224340856,0.0009462611662456766,0.003876063448842615,0.01089218445122242,0.03680513568058572,0.04463085997849703,0.16636960431933404,0.2334126694500446,0.2673731744289398
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr5,CV FPR <= 5%,0.178807958960533,1e-12,cv,FP,3453,0.1788102388381958,0.17963088989257814,0.1824883282184601,0.19791457056999207,0.22102220356464386,0.23253839227589115,0.2559678256511688,0.31941801905632017,0.37730483174324037,0.48241689801216125
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr5,CV FPR <= 5%,0.178807958960533,1e-12,cv,TP,1117,0.17880795896053314,0.17954566240310668,0.18405861556529998,0.2049044370651245,0.22998370230197906,0.24320586485956647,0.271987646818161,0.33832677602767947,0.3945929467678067,0.46470335125923157
